iter	Passed	Remaining
601	93389	682274
602	93545	682123
603	93700	681963
604	93848	681760
605	94003	681602
606	94156	681432
607	94313	681290
608	94459	681072
609	94613	680908
610	94775	680803
611	94925	680609
612	95082	680467
613	95238	680317
614	95392	680159
615	95554	680052
616	95713	679922
617	95881	679855
618	96045	679768
619	96063	678643
620	96229	678568
621	96392	678463
622	96548	678316
623	96701	678149
624	96859	678018
625	97029	677965
626	97179	677774
627	97331	677604
628	97485	677442
629	97643	677301
630	97798	677152
631	97953	676995
632	98116	676893
633	98262	676679
634	98416	676518
635	98573	676373
636	98729	676225
637	98885	676079
638	99040	675927
639	99198	675793
640	99347	675594
641	99516	675533
642	99678	675427
643	99866	675495
644	100032	675411
645	100209	675403
646	100382	675372
647	100566	675407
648	100718	675235
649	100876	675095
650	101035	674969
651	101247	675187
652	101411	675096
653	101568	674950
654	101721	674780
655	101880	674648
656	102035	674492
657	102187	674314
658	102341	674148
659	102495	673987
660	102518	672963
661	102670	672787
662	102820	672597
663	102974	672434
664	103133	672305
665	103286	672139
666	103440	671975
667	103604	671878
668	103768	671781
669	103919	671600
670	104075	671451
671	104233	671315
672	104389	671164
673	104544	671005
674	104715	670954
675	104880	670865
676	105066	670905
677	105230	670806
678	105405	670778
679	105577	670725
680	105743	670641
681	105901	670501
682	106049	670301
683	106198	670103
684	106350	669930
685	106502	669753
686	106657	669600
687	106815	669458
688	106980	669366
689	107134	669204
690	107283	669005
691	107445	668892
692	107612	668811
693	107762	668621
694	107914	668447
695	108070	668297
696	108228	668162
697	108379	667980
698	108531	667802
699	108686	667643
700	108714	666706
701	108867	666541
702	109022	666386
703	109178	666235
704	109335	666096
705	109483	665895
706	109635	665723
707	109793	665584
708	109944	665404
709	110096	665230
710	110251	665074
711	110407	664924
712	110559	664754
713	110709	664566
714	110860	664385
715	111010	664203
716	111167	664056
717	111319	663883
718	111473	663726
719	111652	663710
720	111801	663523
721	111956	663362
722	112111	663212
723	112266	663054
724	112420	662895
725	112576	662742
726	112735	662609
727	112883	662415
728	113036	662245
729	113193	662103
730	113349	661955
731	113503	661794
732	113660	661647
733	113822	661533
734	113970	661340
735	114123	661170
736	114279	661021
737	114432	660854
738	114590	660717
739	114745	660561
740	114904	660430
741	115059	660275
742	115208	660086
743	115362	659922
744	115519	659780
745	115679	659651
746	115829	659470
747	115987	659329
748	116145	659191
749	116326	659183
750	116482	659031
751	116650	658949
752	116803	658783
753	116953	658602
754	117111	658461
755	117267	658311
756	117422	658153
757	117578	658003
758	117733	657850
759	117888	657691
760	118045	657548
761	118203	657409
762	118355	657236
763	118507	657062
764	118656	656875
765	118811	656718
766	118969	656579
767	119126	656434
768	119281	656279
769	119434	656115
770	119594	655985
771	119752	655846
772	119904	655676
773	120058	655512
774	120211	655344
775	120366	655192
776	120526	655063
777	120682	654912
778	120835	654746
779	120989	654582
780	121142	654419
781	121300	654278
782	121453	654110
783	121612	653977
784	121766	653813
785	121917	653639
786	122071	653479
787	122227	653329
788	122384	653180
789	122542	653044
790	122704	652922
791	122858	652763
792	123008	652579
793	123158	652399
794	123309	652220
795	123460	652046
796	123625	651942
797	123780	651785
798	123943	651671
799	124094	651494
800	124247	651330
801	124404	651182
802	124560	651034
803	124715	650877
804	124872	650734
805	125027	650576
806	125176	650388
807	125326	650209
808	125483	650062
809	125638	649906
810	125795	649760
811	125950	649607
812	126105	649448
813	126254	649262
814	126404	649082
815	126556	648912
816	126712	648760
817	126868	648609
818	127024	648460
819	127048	647639
820	127226	647600
821	127378	647431
822	127394	646569
823	127546	646400
824	127721	646349
825	127870	646164
826	128022	645995
827	128179	645851
828	128342	645738
829	128497	645582
830	128649	645413
831	128801	645245
832	128959	645105
833	129117	644969
834	129274	644823
835	129429	644669
836	129588	644537
837	129739	644361
838	129893	644201
839	130048	644048
840	130203	643896
841	130357	643736
842	130514	643590
843	130675	643467
844	130826	643296
845	130980	643135
846	131135	642982
847	131288	642820
848	131444	642667
849	131608	642557
850	131636	641785
851	131802	641685
852	131950	641497
853	132105	641344
854	132261	641198
855	132279	640380
856	132432	640221
857	132586	640061
858	132739	639902
859	132896	639758
860	133047	639586
861	133201	639429
862	133358	639284
863	133513	639132
864	133673	639003
865	133829	638857
866	133985	638708
867	134135	638533
868	134285	638357
869	134437	638193
870	134592	638041
871	134748	637890
872	134903	637740
873	135059	637591
874	135215	637443
875	135363	637257
876	135519	637112
877	135682	636994
878	135831	636815
879	135984	636655
880	136139	636501
881	136328	636509
882	136480	636342
883	136644	636231
884	136810	636129
885	136970	636000
886	137125	635849
887	137281	635698
888	137435	635540
889	137582	635350
890	137740	635212
891	137895	635062
892	138050	634906
893	138207	634763
894	138363	634617
895	138514	634447
896	138532	633666
897	138680	633482
898	138831	633312
899	138990	633180
900	139145	633029
901	139300	632875
902	139455	632721
903	139614	632588
904	139779	632484
905	139937	632344
906	140086	632166
907	140238	632000
908	140391	631838
909	140542	631667
910	140696	631511
911	140844	631327
912	140995	631158
913	141151	631010
914	141235	630543
915	141389	630385
916	141544	630237
917	141699	630086
918	141864	629977
919	142019	629825
920	142172	629664
921	142335	629551
922	142361	628826
923	142515	628673
924	142668	628512
925	142827	628377
926	142988	628252
927	143139	628085
928	143289	627912
929	143439	627741
930	143594	627590
931	143754	627460
932	143903	627282
933	144054	627116
934	144208	626961
935	144362	626805
936	144517	626651
937	144671	626499
938	144826	626348
939	144981	626196
940	145133	626032
941	145290	625891
942	145441	625720
943	145595	625566
944	145750	625417
945	145906	625269
946	146068	625146
947	146224	625002
948	146381	624859
949	146530	624683
950	146682	624518
951	146835	624360
952	146989	624204
953	147142	624044
954	147299	623902
955	147453	623745
956	147605	623584
957	147765	623452
958	147920	623301
959	148076	623154
960	148235	623020
961	148392	622876
962	148548	622732
963	148699	622562
964	148851	622399
965	149007	622253
966	149164	622109
967	149319	621960
968	149483	621846
969	149643	621715
970	149800	621571
971	149953	621411
972	150106	621253
973	150259	621093
974	150413	620935
975	150571	620799
976	150728	620657
977	150879	620487
978	151030	620322
979	151184	620163
980	151337	620004
981	151489	619843
982	151645	619694
983	151810	619585
984	151973	619466
985	152126	619307
986	152282	619157
987	152439	619016
988	152593	618858
989	152752	618725
990	152911	618590
991	153079	618489
992	153228	618315
993	153379	618148
994	153528	617972
995	153688	617840
996	153845	617697
997	154000	617546
998	154161	617415
999	154313	617252
1000	154464	617085
1001	154615	616917
1002	154769	616761
1003	154924	616610
1004	155081	616469
1005	155239	616329
1006	155392	616170
1007	155544	616004
1008	155700	615859
1009	155870	615765
1010	156035	615652
1011	156191	615505
1012	156371	615452
1013	156526	615301
1014	156677	615133
1015	156831	614977
1016	156982	614809
1017	157135	614651
1018	157290	614499
1019	157447	614355
1020	157602	614202
1021	157750	614023
1022	157900	613850
1023	158054	613697
1024	158210	613548
1025	158366	613400
1026	158520	613245
1027	158677	613100
1028	158830	612940
1029	158987	612795
1030	159141	612640
1031	159295	612485
1032	159451	612335
1033	159605	612181
1034	159765	612048
1035	159920	611894
1036	160072	611731
1037	160228	611586
1038	160385	611442
1039	160541	611291
1040	160698	611147
1041	160854	610999
1042	161009	610846
1043	161159	610678
1044	161317	610534
1045	161474	610390
1046	161628	610238
1047	161785	610091
1048	161940	609940
1049	162104	609823
1050	162258	609664
1051	162410	609502
1052	162565	609350
1053	162718	609189
1054	162872	609034
1055	163030	608893
1056	163189	608757
1057	163344	608604
1058	163494	608435
1059	163649	608280
1060	163812	608159
1061	163966	608002
1062	164117	607835
1063	164273	607687
1064	164430	607543
1065	164593	607420
1066	164749	607272
1067	164903	607117
1068	164923	606468
1069	165079	606320
1070	165231	606157
1071	165386	606004
1072	165543	605862
1073	165696	605702
1074	165863	605596
1075	166031	605489
1076	166195	605369
1077	166371	605294
1078	166585	605360
1079	166750	605243
1080	166922	605151
1081	167079	605006
1082	167234	604853
1083	167390	604707
1084	167547	604559
1085	167714	604451
1086	167890	604373
1087	168041	604207
1088	168196	604055
1089	168349	603897
1090	168503	603741
1091	168659	603589
1092	168817	603447
1093	168967	603278
1094	169119	603116
1095	169276	602971
1096	169432	602819
1097	169599	602711
1098	169755	602562
1099	169920	602446
1100	170084	602323
1101	170238	602167
1102	170390	602005
1103	170545	601853
1104	170704	601714
1105	170861	601568
1106	171081	601642
1107	171246	601524
1108	171424	601452
1109	171590	601341
1110	171751	601206
1111	171916	601089
1112	172069	600930
1113	172240	600832
1114	172394	600676
1115	172548	600518
1116	172703	600366
1117	172859	600213
1118	173014	600063
1119	173172	599919
1120	173341	599812
1121	173494	599653
1122	173648	599495
1123	173805	599351
1124	173963	599206
1125	174121	599063
1126	174275	598907
1127	174435	598771
1128	174592	598625
1129	174743	598458
1130	174899	598309
1131	175054	598155
1132	175210	598004
1133	175367	597858
1134	175527	597719
1135	175678	597555
1136	175839	597421
1137	176002	597295
1138	176158	597145
1139	176333	597059
1140	176498	596940
1141	176663	596818
1142	176814	596653
1143	176969	596497
1144	177124	596344
1145	177278	596188
1146	177429	596020
1147	177581	595857
1148	177733	595692
1149	177888	595538
1150	178042	595381
1151	178198	595232
1152	178353	595077
1153	178507	594921
1154	178662	594769
1155	178819	594619
1156	178982	594495
1157	179135	594332
1158	179288	594174
1159	179446	594029
1160	179600	593873
1161	179758	593730
1162	179929	593627
1163	180094	593508
1164	180246	593342
1165	180402	593192
1166	180559	593045
1167	180718	592904
1168	180875	592756
1169	181031	592606
1170	181197	592488
1171	181348	592322
1172	181500	592159
1173	181655	592004
1174	181813	591859
1175	181835	591275
1176	181994	591133
1177	182150	590983
1178	182310	590846
1179	182458	590669
1180	182607	590499
1181	182765	590354
1182	182929	590229
1183	183088	590088
1184	183242	589931
1185	183400	589787
1186	183550	589620
1187	183704	589462
1188	183873	589354
1189	184026	589193
1190	184180	589036
1191	184333	588877
1192	184495	588745
1193	184649	588589
1194	184804	588437
1195	184960	588286
1196	185117	588139
1197	185276	587998
1198	185434	587852
1199	185591	587704
1200	185756	587583
1201	185909	587425
1202	186062	587263
1203	186216	587106
1204	186371	586953
1205	186527	586804
1206	186683	586654
1207	186840	586505
1208	186994	586347
1209	187154	586211
1210	187329	586121
1211	187489	585982
1212	187650	585847
1213	187811	585713
1214	187985	585616
